"product_id","variation_id","name.x","color.x","name.y","color.y","hue","fiber","yarn_weight","effect"
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","cotton","sport",NA
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","cotton","undefined weight",NA
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","wool","sport",NA
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","wool","undefined weight",NA
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","sport",NA
"10060","10061","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","undefined weight",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","cotton","sport",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","cotton","undefined weight",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","wool","sport",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","wool","undefined weight",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","sport",NA
"10060","10073","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","undefined weight",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","cotton","sport",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","cotton","undefined weight",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","wool","sport",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","wool","undefined weight",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","sport",NA
"10060","9999","memory yarn",NA,"memory yarn",NA,"natural","yarn for indie dyers","undefined weight",NA
"10078","18075","speck","coffee and cream","speck","coffee and cream","gold","wool","lace",NA
"10078","18075","speck","coffee and cream","speck","coffee and cream","gold","wool","undefined weight",NA
"10078","18190","speck","oreo cookie","speck","oreo cookie","blue","wool","lace",NA
"10078","18190","speck","oreo cookie","speck","oreo cookie","blue","wool","undefined weight",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","cotton","dk",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","cotton","undefined weight",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","polyester","dk",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","polyester","undefined weight",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","rayon / viscose","dk",NA
"10285","10862","swirl yarn","latte","swirl yarn","latte","blue","rayon / viscose","undefined weight",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","cotton","dk",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","cotton","undefined weight",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","polyester","dk",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","polyester","undefined weight",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","rayon / viscose","dk",NA
"10285","10863","swirl yarn","oreo","swirl yarn","oreo","pink","rayon / viscose","undefined weight",NA
"10496","10498","worsted rayon boucle","black","worsted rayon boucle","black","purple","rayon / viscose","fingering",NA
"10496","10498","worsted rayon boucle","black","worsted rayon boucle","black","purple","rayon / viscose","undefined weight",NA
"10496","10510","worsted rayon boucle","rust","worsted rayon boucle","rust","gold","rayon / viscose","fingering",NA
"10496","10510","worsted rayon boucle","rust","worsted rayon boucle","rust","gold","rayon / viscose","undefined weight",NA
"10496","10511","worsted rayon boucle","kiwi","worsted rayon boucle","kiwi","blue","rayon / viscose","fingering",NA
"10496","10511","worsted rayon boucle","kiwi","worsted rayon boucle","kiwi","blue","rayon / viscose","undefined weight",NA
"10496","10512","worsted rayon boucle","golden","worsted rayon boucle","golden","gold","rayon / viscose","fingering",NA
"10496","10512","worsted rayon boucle","golden","worsted rayon boucle","golden","gold","rayon / viscose","undefined weight",NA
"10496","10718","worsted rayon boucle","blueberry","worsted rayon boucle","blueberry","blue","rayon / viscose","fingering",NA
"10496","10718","worsted rayon boucle","blueberry","worsted rayon boucle","blueberry","blue","rayon / viscose","undefined weight",NA
"10496","10724","worsted rayon boucle","blue topaz","worsted rayon boucle","blue topaz","blue","rayon / viscose","fingering",NA
"10496","10724","worsted rayon boucle","blue topaz","worsted rayon boucle","blue topaz","blue","rayon / viscose","undefined weight",NA
"10496","10726","worsted rayon boucle","fuchsia","worsted rayon boucle","fuchsia","pink","rayon / viscose","fingering",NA
"10496","10726","worsted rayon boucle","fuchsia","worsted rayon boucle","fuchsia","pink","rayon / viscose","undefined weight",NA
"10496","10727","worsted rayon boucle","purple","worsted rayon boucle","purple","purple","rayon / viscose","fingering",NA
"10496","10727","worsted rayon boucle","purple","worsted rayon boucle","purple","purple","rayon / viscose","undefined weight",NA
"1058","18657","florafil yarn super soft cotton | worsted","lady","florafil yarn super soft cotton | worsted","lady","gold","cotton","dk",NA
