"order_id","order_date","order_total","user_type","product_id","variation_id","quantity","coupon","meta.yarn_usage"
"22221",2021-03-10,39.15,"registered customer","605","1049",1,"1signup",NA
"22219",2021-03-09,91.65,"registered customer","16614","16621",1,NA,NA
"22219",2021-03-09,91.65,"registered customer","16614","16629",1,NA,NA
"22219",2021-03-09,91.65,"registered customer","9625","13165",1,NA,NA
"22218",2021-03-08,221.87,"wholesale buyer","1058","3382",2,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22036",3,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22037",3,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22159",2,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22161",2,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","22162",2,"happyspring",NA
"22218",2021-03-08,221.87,"wholesale buyer","18963","9999",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1085","1097",4,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1085","1103",4,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1085","2517",4,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","11442",3,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2005",1,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2006",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2007",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2008",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2009",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2011",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2012",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2014",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2016",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2017",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","2018",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","21164",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","1987","3082",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","605","1048",3,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","605","1050",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","605","11431",3,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","605","11433",2,"happyspring",NA
"22206",2021-03-08,464.23,"wholesale buyer","605","1885",3,"happyspring",NA
"22205",2021-03-08,181.97,"guest","10855","13050",2,"happyspring",NA
"22205",2021-03-08,181.97,"guest","16546","16548",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","16546","19635",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","19708","19713",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","19708","19716",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","2260","6734",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","2563","9216",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","2563","9217",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","2563","9219",1,"happyspring",NA
"22205",2021-03-08,181.97,"guest","2938","16171",1,"happyspring",NA
"22204",2021-03-08,60.57,"registered customer","16047","19878",1,"happyspring",NA
"22204",2021-03-08,60.57,"registered customer","20214","20217",2,"happyspring",NA
"22204",2021-03-08,60.57,"registered customer","9824","9828",1,"happyspring",NA
"22203",2021-03-07,119.91,"guest","19708","19709",4,"happyspring",NA
"22203",2021-03-07,119.91,"guest","21048","21054",1,"happyspring",NA
"22203",2021-03-07,119.91,"guest","21048","21060",1,"happyspring",NA
"22203",2021-03-07,119.91,"guest","21048","21068",1,"happyspring",NA
"22202",2021-03-07,24.57,"guest","17702","19895",1,"happyspring",NA
"22201",2021-03-05,55.53,"guest","13312","19591",1,"happyspring",NA
"22201",2021-03-05,55.53,"guest","19107","19110",1,"happyspring",NA
"22201",2021-03-05,55.53,"guest","1946","22124",1,"happyspring",NA
"22200",2021-03-05,89.8,"guest","21000","21782",1,"happyspring",NA
"22200",2021-03-05,89.8,"guest","3680","21772",1,"happyspring",NA
"22200",2021-03-05,89.8,"guest","3680","22138",1,"happyspring",NA
"22200",2021-03-05,89.8,"guest","3680","22140",1,"happyspring",NA
"22200",2021-03-05,89.8,"guest","9581","21800",1,"happyspring",NA
"22198",2021-03-05,61.54,"guest",NA,NA,NA,"happyspring",NA
"22197",2021-03-05,39.14,"registered customer","21017","21028",2,"happyspring",NA
"22195",2021-03-05,63.55,"registered customer","9824","9826",1,"happyspring",NA
"22195",2021-03-05,63.55,"registered customer","9824","9829",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21050",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21052",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21056",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21058",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21060",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21068",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21048","21070",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21998","21999",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21998","22002",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21998","22003",1,"happyspring",NA
"22192",2021-03-05,196.63,"registered customer","21998","22007",1,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","10496","10718",4,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","1739","12989",2,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","17848","18107",1,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","2698","21901",2,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","2698","21903",1,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","3680","22141",1,"happyspring",NA
"22191",2021-03-05,189.01,"registered customer","6854","21149",1,"happyspring",NA
"22190",2021-03-05,52.47,"wholesale buyer","19708","19710",1,"happyspring",NA
"22190",2021-03-05,52.47,"wholesale buyer","21429","21435",2,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","10285","10863",1,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","13790","13797",1,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","13790","13800",1,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","17955","20202",1,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","2698","17886",1,"happyspring",NA
"22189",2021-03-05,103.31,"wholesale buyer","9824","9829",1,"happyspring",NA
"22164",2021-03-04,62.64,"guest","16287","16288",1,NA,NA
"22164",2021-03-04,62.64,"guest","1739","12346",2,NA,NA
"22163",2021-03-04,568.32,"guest","7860","9245",1,NA,NA
"22163",2021-03-04,568.32,"guest","7860","9246",1,NA,NA
"22163",2021-03-04,568.32,"guest","7860","9247",1,NA,NA
"22163",2021-03-04,568.32,"guest","7860","9249",1,NA,NA
"22163",2021-03-04,568.32,"guest","9581","10493",2,NA,NA
"22163",2021-03-04,568.32,"guest","9581","13184",2,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21799",3,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21800",3,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21801",3,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21913",3,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21914",4,NA,NA
"22163",2021-03-04,568.32,"guest","9581","21915",3,NA,NA
"22163",2021-03-04,568.32,"guest","9581","9617",2,NA,NA
"22163",2021-03-04,568.32,"guest","9581","9832",3,NA,NA
"22149",2021-03-03,180.19,"registered customer","16614","16625",2,"1signup",NA
"22149",2021-03-03,180.19,"registered customer","16614","19254",1,"1signup",NA
"22149",2021-03-03,180.19,"registered customer","16614","19276",2,"1signup",NA
"22149",2021-03-03,180.19,"registered customer","19107","19115",1,"1signup",NA
"22148",2021-03-02,1194.26,"guest","11161","11162",2,NA,NA
"22148",2021-03-02,1194.26,"guest","11161","11163",3,NA,NA
"22148",2021-03-02,1194.26,"guest","11161","19366",4,NA,NA
"22148",2021-03-02,1194.26,"guest","11161","19654",2,NA,NA
"22148",2021-03-02,1194.26,"guest","11161","19655",2,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21415",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21807",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21808",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21809",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21810",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21907",3,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21908",4,NA,NA
"22148",2021-03-02,1194.26,"guest","19207","21909",3,NA,NA
"22148",2021-03-02,1194.26,"guest","21998","22003",3,NA,NA
"22148",2021-03-02,1194.26,"guest","21998","22004",3,NA,NA
"22148",2021-03-02,1194.26,"guest","21998","22005",2,NA,NA
"22148",2021-03-02,1194.26,"guest","21998","22009",3,NA,NA
"22148",2021-03-02,1194.26,"guest","21998","22010",3,NA,NA
"22148",2021-03-02,1194.26,"guest","2260","6710",1,NA,NA
"22148",2021-03-02,1194.26,"guest","2260","6711",1,NA,NA
"22148",2021-03-02,1194.26,"guest","2260","6734",2,NA,NA
"22148",2021-03-02,1194.26,"guest","2260","6735",2,NA,NA
"22148",2021-03-02,1194.26,"guest","2260","6736",1,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","20771",3,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","20772",1,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","20774",4,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","20775",1,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","21149",2,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","21150",3,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","21151",2,NA,NA
"22148",2021-03-02,1194.26,"guest","6854","7126",3,NA,NA
"22142",2021-03-02,71.24,"guest","1749","18086",1,NA,NA
"22142",2021-03-02,71.24,"guest","1946","2265",1,NA,NA
"22142",2021-03-02,71.24,"guest","6342","15537",1,NA,NA
"22142",2021-03-02,71.24,"guest","6342","16873",1,NA,NA
"22118",2021-03-02,112.75,"wholesale buyer","17166","17202",3,NA,NA
"22118",2021-03-02,112.75,"wholesale buyer","17166","17357",2,NA,NA
"22118",2021-03-02,112.75,"wholesale buyer","9824","9828",3,NA,NA
"22118",2021-03-02,112.75,"wholesale buyer","9824","9829",3,NA,NA
"22104",2021-03-02,59.5,"registered customer","16614","16621",1,NA,NA
"22104",2021-03-02,59.5,"registered customer","6854","20774",1,NA,NA
"22103",2021-03-02,141.76,"guest","17551","17559",3,NA,NA
"22103",2021-03-02,141.76,"guest","2382","17136",5,NA,NA
"22099",2021-03-01,79.96,"guest","1946","1947",2,NA,NA
"22099",2021-03-01,79.96,"guest","1946","21724",2,NA,NA
"22098",2021-03-01,72.44,"registered customer","17410","17414",4,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","1085","1102",3,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","17955","19607",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","18963","18965",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","18963","22036",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","18963","22037",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","20214","20217",2,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21097",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21098",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21100",3,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21101",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21104",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21105",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21106",1,NA,NA
"22097",2021-03-01,354.79,"wholesale buyer","21095","21107",1,NA,NA
