"product_id","variation_id","name","color","hue1","hue2","hue3","hue4","hue5","hue6"
"13654","21136","4/4 cotton yarn (worsted cotton)","gulfstream","green","blue","","","",NA
"13654","21188","4/4 cotton yarn (worsted cotton)","steel serpent","gray","","","","",NA
"13790","13797","hank or cone","spider cone","black","white","","","",NA
"13790","13800","hank or cone","butterfly cone","natural","","","","",NA
"13894","1111","fun loopy yarn",NA,"natural","","","","",NA
"14007","14014","nature walk","dawn","blue","orange","black","","",NA
"14587","14588","softball skein metallic","silver","natural","","","","",NA
"14587","14589","softball skein metallic","rainbow","natural","","","","",NA
"14587","14590","softball skein metallic","copper","natural","","","","",NA
"14587","14591","softball skein metallic","gold","natural","","","","",NA
"15032","18591","twister","custard","brown","yellow","","","",NA
"15032","19210","twister","natural","natural","","","","",NA
"15530","18039","worsted wool mini skeins *bundle special*","blue","blue","","","","",NA
"15530","18044","worsted wool mini skeins *bundle special*","bundle","green","purple","natural","red","blue",NA
"15558","15580","cotton rayon chain yarn","natural","natural","","","","",NA
"15558","16666","cotton rayon chain yarn","fire red","red","","","","",NA
"15558","16668","cotton rayon chain yarn","bright green","green","","","","",NA
"15558","16670","cotton rayon chain yarn","hot pink","pink","","","","",NA
"15587","15593","cotton rayon seed yarn","natural","natural","","","","",NA
"15587","15594","cotton rayon seed yarn","peach","pink","orange","","","",NA
"15649","1111","wool crepe funfair",NA,"blue","","","","",NA
"1572","1575","florafil shimmer yarn","lady","green","","","","",NA
"1572","1580","florafil shimmer yarn","white lily","white","","","","",NA
"1572","19758","florafil shimmer yarn","rose","pink","","","","",NA
"1572","22110","florafil shimmer yarn","natural","natural","","","","",NA
"15805","15822","hiking trail","marshmallow","white","","","","",NA
"15805","15824","hiking trail","marshmallow","white","","","","",NA
"15805","15828","hiking trail","tree bark","brown","","","","",NA
"15805","15833","hiking trail","wine berry","purple","red","","","",NA
"16047","19877","autumn leaves","5802","brown","red","orange","yellow","green",NA
"16047","19878","autumn leaves","ribbon chain","brown","red","orange","yellow","green",NA
"16047","19879","autumn leaves","1610","brown","red","orange","yellow","green",NA
"16234","18816","5/1 spun rayon","0.8 lbs per cone","natural","","","","",NA
"16246","16248","new mix","a","red","orange","brown","","",NA
"16246","16250","new mix","b","gray","yellow","","","",NA
"16246","16252","new mix","c","yellow","black","pink","purple","",NA
"16246","16254","new mix","d","orange","white","black","","",NA
"16287","16288","wool boucle","natural","natural","","","","",NA
"16287","16290","wool boucle","navy","blue","","","","",NA
"16306","1111","rayon chain yarn",NA,"natural","","","","",NA
"16347","1111","blue metallic yarn",NA,"blue","","","","",NA
"16440","16448","cotton bash thick and thin","bleach white","white","","","","",NA
"16440","16726","cotton bash thick and thin","hot pink","pink","","","","",NA
"16440","19374","cotton bash thick and thin","sand","orange","","","","",NA
"16440","19446","cotton bash thick and thin","sunflower","yellow","","","","",NA
"16440","19691","cotton bash thick and thin","eros","red","","","","",NA
"16440","19692","cotton bash thick and thin","denim","blue","","","","",NA
"16495","16496","fun mini skeins","jade","green","blue","","","",NA
"16495","16498","fun mini skeins","salmon","pink","","","","",NA
"16495","16500","fun mini skeins","pearl","white","","","","",NA
"16495","16502","fun mini skeins","seagrass","green","","","","",NA
"16546","16548","curaã§ao cotton boucle","sea glass","blue","","","","",NA
"16546","16556","curaã§ao cotton boucle","mango","orange","pink","","","",NA
"16546","19635","curaã§ao cotton boucle","papaya","orange","","","","",NA
"16614","16615","nature's wool","citrine","yellow","","","","",NA
"16614","16617","nature's wool","amethyst","purple","","","","",NA
"16614","16619","nature's wool","calcite","brown","","","","",NA
"16614","16621","nature's wool","limestone","green","","","","",NA
"16614","16623","nature's wool","fern","green","blue","","","",NA
"16614","16625","nature's wool","celestine","blue","purple","","","",NA
"16614","16627","nature's wool","sandstone","brown","","","","",NA
"16614","16629","nature's wool","onyx","black","","","","",NA
"16614","16631","nature's wool","red jasper","red","","","","",NA
"16614","16633","nature's wool","terracotta","brown","orange","","","",NA
"16614","18687","nature's wool","chestnut","brown","red","","","",NA
"16614","18688","nature's wool","safari","brown","","","","",NA
"16614","18689","nature's wool","sapphire","blue","","","","",NA
"16614","19254","nature's wool","purple rain","purple","","","","",NA
"16614","19276","nature's wool","clear lake","blue","","","","",NA
"16614","19277","nature's wool","blue canoe","blue","","","","",NA
"16614","19278","nature's wool","pink heart","pink","","","","",NA
"16614","19348","nature's wool","sky blue","blue","","","","",NA
"16614","20466","nature's wool","petunia","purple","","","","",NA
"16756","16757","wavy 100% bamboo yarn","aubergine","purple","","","","",NA
"16756","16766","wavy 100% bamboo yarn","licorice","black","","","","",NA
"16756","16768","wavy 100% bamboo yarn","zest","yellow","","","","",NA
"16934","21583","organic cotton wool soy linen combo","pollen","yellow","","","","",NA
"16934","21584","organic cotton wool soy linen combo","freshwater","blue","","","","",NA
"16934","21585","organic cotton wool soy linen combo","waterfall","blue","","","","",NA
"16934","21586","organic cotton wool soy linen combo","night owl","gray","","","","",NA
"16934","21587","organic cotton wool soy linen combo","natural","natural","","","","",NA
"16934","21588","organic cotton wool soy linen combo","rustic red","red","","","","",NA
"16934","21589","organic cotton wool soy linen combo","wisteria","purple","","","","",NA
"16934","9999","soy wool combo yarn","3-pack bundle","not applicable","","","","",NA
"16999","17003","luxury fine wool","0.6 lb per cone","black","","","","",NA
"16999","17004","luxury fine wool","1.2 - 1.4 lb per cone","black","","","","",NA
"17016","1111","variegated seed yarn",NA,"blue","black","","","",NA
"17032","18373","eyelash rayon chenille","white","white","","","","",NA
"17032","18374","eyelash rayon chenille","hot pink","pink","","","","",NA
"17032","18375","eyelash rayon chenille","dark purple","purple","","","","",NA
"17088","22272","poly oreo yarn","single stuffed","black","white","","","",NA
"17088","22273","poly oreo yarn","double stuffed","black","white","","","",NA
"17088","9999","poly oreo yarn",NA,"black","white","","","",NA
"17166","17199","metallic diva yarn","rhythm red","red","","","","",NA
"17166","17200","metallic diva yarn","groovy green","green","","","","",NA
"17166","17201","metallic diva yarn","poppy purple","purple","pink","","","",NA
"17166","17202","metallic diva yarn","pretty pink","pink","","","","",NA
"17166","17203","metallic diva yarn","curvy copper","orange","","","","",NA
"17166","17204","metallic diva yarn","banging blue","blue","","","","",NA
"17166","17355","metallic diva yarn","passion purple","purple","pink","","","",NA
"17166","17356","metallic diva yarn","funky fuschia","purple","pink","","","",NA
"17166","17357","metallic diva yarn","midnight disco","blue","pink","orange","","",NA
"17166","17359","metallic diva yarn","pearl","white","","","","",NA
"17166","17362","metallic diva yarn","black pearl","black","","","","",NA
"1739","12346","wool crepe yarn","dew","green","","","","",NA
"1739","12987","wool crepe yarn","polar ice","blue","","","","",NA
"1739","12989","wool crepe yarn","royal blue","blue","","","","",NA
"1739","15495","wool crepe yarn","porcelain","pink","","","","",NA
"1739","16189","wool crepe yarn","custard","yellow","","","","",NA
"1739","16191","wool crepe yarn","coral","orange","","","","",NA
"1739","16925","wool crepe yarn","suede","brown","","","","",NA
"1739","17057","wool crepe yarn","true red","red","","","","",NA
"1739","17063","wool crepe yarn","majorka","pink","","","","",NA
"1739","17325","wool crepe yarn","brilliant orange","orange","","","","",NA
"1739","17408","wool crepe yarn","midnight navy","blue","","","","",NA
"1739","2245","wool crepe yarn","pompeii","pink","","","","",NA
"1739","2248","wool crepe yarn","blossom","pink","","","","",NA
"1739","2524","wool crepe yarn","burgundy","red","","","","",NA
"1739","2527","wool crepe yarn","kelly green","green","","","","",NA
"1739","2532","wool crepe yarn","black","black","","","","",NA
"1739","2559","wool crepe yarn","australian white","white","","","","",NA
"1739","2560","wool crepe yarn","tan","brown","","","","",NA
"1739","5600","wool crepe yarn","champagne","brown","","","","",NA
"1739","6050","wool crepe yarn","plum","pink","purple","","","",NA
"1739","6054","wool crepe yarn","inca sky","blue","","","","",NA
"1739","8620","wool crepe yarn","seal brown","brown","","","","",NA
"17410","17412","rayon swirl","wine swirl","purple","black","gray","","",NA
"17410","17413","rayon swirl","olive swirl","green","brown","","","",NA
"17410","17414","rayon swirl","silver swirl","gray","black","white","","",NA
"1749","18081","rayon chenille yarn 1850 ypp","red cherry","red","purple","","","",NA
"1749","18083","rayon chenille yarn 1850 ypp","almond","brown","","","","",NA
"1749","18086","rayon chenille yarn 1850 ypp","hazelnut","brown","","","","",NA
"17551","17559","matte skinny majesty","licorice","black","","","","",NA
"17551","17933","matte skinny majesty","natural","natural","","","","",NA
