"order_id","order_date","order_total","customer_id","billing_company"
"21659",2021-01-28,151.54,"448",NA
"21637",2021-01-28,54.75,"296",NA
"21600",2021-01-27,179.57,"543",NA
"21599",2021-01-27,58.62,"97",NA
"21550",2021-01-27,30.51,"382",NA
"21540",2021-01-26,35.9,"553",NA
"21539",2021-01-26,50.75,"268",NA
"21535",2021-01-25,268.72,"143",NA
"21533",2021-01-25,55.74,"222",NA
"21529",2021-01-25,60.59,"493",NA
"21528",2021-01-25,352.18,"139",NA
"21525",2021-01-24,50.83,"367","mary"
"21524",2021-01-24,24.58,"247",NA
"21523",2021-01-24,180.15,"517","the wandering vine"
"21522",2021-01-24,44.54,"228",NA
"21521",2021-01-23,105.66,"499",NA
"21520",2021-01-22,180.15,"125",NA
"21519",2021-01-22,176.74,"151",NA
"21518",2021-01-22,22.95,"501",NA
"21517",2021-01-22,55.71,"310",NA
"21516",2021-01-22,321.82,"253","saori santa cruz"
"21515",2021-01-22,97.05,"45",NA
"21514",2021-01-22,87.87,"172",NA
"21513",2021-01-22,118.62,"453",NA
"21512",2021-01-22,88.94,"556","tusculum farm"
"21482",2021-01-21,42.4,"433",NA
"21466",2021-01-21,144.56,"126",NA
"21456",2021-01-20,39.14,"250","big crafter"
"21455",2021-01-20,228.72,"139",NA
"21454",2021-01-20,174.74,"139",NA
"21453",2021-01-20,215.12,"551",NA
"21452",2021-01-20,241.76,"139",NA
"21451",2021-01-20,26.2,"354",NA
"21450",2021-01-20,31.58,"338",NA
"21449",2021-01-20,101.35,"81","clsassociates"
"21448",2021-01-20,163.88,"329",NA
"21447",2021-01-20,100.3,"306","lauren"
"21446",2021-01-20,41.08,"90",NA
"21445",2021-01-20,35.9,"206",NA
"21444",2021-01-20,133.73,"324",NA
"21443",2021-01-19,204.54,"160",NA
"21442",2021-01-19,38.06,"55",NA
"21441",2021-01-18,63.81,"403",NA
"21440",2021-01-18,178.07,"198","lovable yarn creations"
"21420",2021-01-17,81.12,"265",NA
"21419",2021-01-17,125.77,"348",NA
"21418",2021-01-17,20,"92","siddhi soul dba coastal craft supply co."
"21417",2021-01-16,147.61,"443",NA
"21416",2021-01-15,76.76,"549","kindred spirit weavers"
"21414",2021-01-15,309.44,"309",NA
"21413",2021-01-14,124.02,"30",NA
"21405",2021-01-14,38,"197","1946"
"21404",2021-01-14,144.6,"493",NA
"21402",2021-01-12,30.51,"388",NA
"21401",2021-01-12,141.32,"235","janell wysock textiles"
"21400",2021-01-12,70.3,"126",NA
"21399",2021-01-11,41.31,"553",NA
"21398",2021-01-11,189.89,"16",NA
"21397",2021-01-11,73.53,"431",NA
"21326",2021-01-11,38,"270",NA
"21324",2021-01-10,42.39,"362","herbloom designs"
"21323",2021-01-09,127.22,"307",NA
"21322",2021-01-08,50.85,"119",NA
"21321",2021-01-08,161.8,"283",NA
"21320",2021-01-08,42.37,"337",NA
"21319",2021-01-08,46.69,"239",NA
"21318",2021-01-07,218.46,"218","left corner design"
"21317",2021-01-07,60.57,"359",NA
"21316",2021-01-07,97.56,"340",NA
"21315",2021-01-07,77.84,"491",NA
"21314",2021-01-07,534.82,"174",NA
"21311",2021-01-06,28.46,"388",NA
"21310",2021-01-06,35.92,"507",NA
"21309",2021-01-06,57.33,"295",NA
"21308",2021-01-06,191.86,"135","mujer woo"
"21307",2021-01-06,202.68,"509","terasadesigns"
"21295",2021-01-06,170.43,"255",NA
"21294",2021-01-05,26.19,"407",NA
"21293",2021-01-04,54.11,"437",NA
"21292",2021-01-04,362.78,"253","saori santa cruz"
"21290",2021-01-03,95.95,"91","do it yarns"
"21289",2021-01-03,272.26,"319",NA
"21288",2021-01-03,1731.52,"394",NA
"21287",2021-01-03,41.08,"484",NA
"21286",2021-01-03,109.44,"38",NA
"21285",2021-01-02,82.46,"91","do it yarns"
"21284",2021-01-02,70.22,"522",NA
"21283",2021-01-02,98.42,"544",NA
"21282",2021-01-02,41.1,"554","o' gosh yarn it!"
"21281",2021-01-01,779.59,"476",NA
"21280",2020-12-31,130.48,"563",NA
"21279",2020-12-31,36.22,"286",NA
"21278",2020-12-31,78.6,"65",NA
"21277",2020-12-31,43.02,"480",NA
"21275",2020-12-31,97.58,"187",NA
"21274",2020-12-31,106.34,"564",NA
"21273",2020-12-31,60.25,"199",NA
"21272",2020-12-30,355.26,"555",NA
"21271",2020-12-30,106.31,"43",NA
"21270",2020-12-29,138.4,"214","weaver house"
"21269",2020-12-29,35.2,"471",NA
"21268",2020-12-29,107.3,"431",NA
"21267",2020-12-29,112.88,"30",NA
"21266",2020-12-28,192.86,"46","bri weaves"
"21264",2020-12-28,65.06,"231","fiber finch/jillsweavings"
"21263",2020-12-27,55.7,"453",NA
"21262",2020-12-26,120.11,"415",NA
"21261",2020-12-26,39.16,"196",NA
"21260",2020-12-26,31.17,"344",NA
"21258",2020-12-26,92.72,"351",NA
"21257",2020-12-26,69.27,"75",NA
"21256",2020-12-26,123.05,"421","queen of hearts creations"
"21255",2020-12-26,82.41,"178",NA
"21235",2020-12-24,39.12,"462",NA
"21187",2020-12-22,85.8,"11",NA
"21186",2020-12-21,45.58,"453",NA
"21184",2020-12-20,119.33,"91","do it yarns"
"21182",2020-12-20,116.57,"186",NA
"21181",2020-12-19,70.32,"57","pangaea world foundation"
"21180",2020-12-18,52.47,"405",NA
"21179",2020-12-18,122.93,"91","do it yarns"
"21178",2020-12-18,121.85,"314",NA
"21177",2020-12-18,166.2,"309",NA
"21176",2020-12-18,87.86,"240",NA
"21175",2020-12-18,126.71,"406","pan's garden yarns"
"21163",2020-12-17,92.64,"552",NA
"21162",2020-12-17,172.94,"167",NA
"21158",2020-12-17,67.96,"42",NA
"21157",2020-12-17,75,"185","frittelli & lockwood"
"21156",2020-12-16,70.28,"171",NA
"21155",2020-12-16,109.22,"142","calicocat, llc"
"21112",2020-12-16,78.04,"439",NA
"21111",2020-12-16,56.63,"179",NA
"21110",2020-12-16,152.92,"234","winston harden studio, llc"
"21109",2020-12-16,238.93,"253","saori santa cruz"
"21108",2020-12-16,36.98,"344",NA
"21090",2020-12-16,11.65,"294",NA
"21089",2020-12-15,104.94,"22",NA
"21088",2020-12-15,42.4,"411",NA
"21011",2020-12-15,85.85,"452",NA
"20898",2020-12-14,586.67,"476",NA
"20896",2020-12-13,112.2,"96",NA
"20895",2020-12-12,87.49,"429",NA
"20894",2020-12-11,110.01,"464",NA
"20835",2020-12-10,62.47,"524",NA
"20824",2020-12-10,64.89,"190",NA
"20823",2020-12-09,40.19,"209",NA
"20822",2020-12-09,58.62,"387",NA
"20821",2020-12-09,138.04,"406","pan's garden yarns"
"20820",2020-12-08,40.22,"541",NA
"20819",2020-12-07,57.18,"24",NA
"20818",2020-12-07,111.72,"34",NA
"20817",2020-12-06,242.85,"253","saori santa cruz"
"20816",2020-12-05,54,"77",NA
"20815",2020-12-05,46.97,"37",NA
"20813",2020-12-05,220.08,"118",NA
"20812",2020-12-04,157.92,"421","queen of hearts creations"
"20811",2020-12-04,34,"344",NA
"20806",2020-12-04,76.14,"53",NA
"20789",2020-12-03,91.39,"251",NA
"20785",2020-12-03,97.94,"93",NA
"20740",2020-12-03,70.29,"515",NA
"20739",2020-12-02,67.38,"388","emily keller llc"
"20737",2020-12-02,53.47,"22",NA
"20735",2020-12-02,34.83,"468",NA
"20734",2020-12-02,31.59,"225",NA
"20732",2020-12-01,22.44,"281",NA
"20731",2020-11-30,63.82,"536",NA
"20730",2020-11-30,224.4,"397",NA
"20729",2020-11-30,63.27,"535","designs by kro-shea"
"20728",2020-11-30,23.6,"67",NA
"20727",2020-11-30,100.48,"91","do it yarns"
"20726",2020-11-30,96.07,"46","bri weaves"
"20723",2020-11-30,92.72,"154",NA
"20722",2020-11-30,50.92,"477",NA
"20721",2020-11-30,292.02,"160",NA
"20720",2020-11-30,88.54,"202","great crochet"
"20719",2020-11-30,53.57,"177",NA
"20718",2020-11-30,245.86,"144",NA
"20712",2020-11-29,110.01,"434","me"
"20709",2020-11-29,43.48,"535","designs by kro-shea"
"20708",2020-11-29,181.13,"333","ready to hand studio"
"20707",2020-11-29,43.48,"535","designs by kro-shea"
"20706",2020-11-28,29.42,"438","bhhs tx realty"
"20705",2020-11-28,466.85,"476",NA
"20704",2020-11-28,125.09,"189",NA
"20703",2020-11-28,66.33,"466",NA
"20702",2020-11-28,177.23,"94","couldn't find code for memorial day 10%, please apply"
"20700",2020-11-27,140.94,"91","do it yarns"
"20699",2020-11-27,34.3,"304",NA
"20698",2020-11-26,101.38,"365",NA
"20697",2020-11-26,50.88,"45",NA
"20695",2020-11-25,55.61,"173",NA
"20683",2020-11-25,312.46,"555",NA
"20682",2020-11-24,27.5,"284",NA
"20681",2020-11-24,43.03,"347","spindleboy"
"20680",2020-11-24,53.75,"128",NA
"20679",2020-11-24,77.09,"398",NA
"20678",2020-11-24,38.03,"502",NA
"20667",2020-11-23,196.33,"223",NA
"20588",2020-11-23,22,"92","siddhi soul dba coastal craft supply co."
"20587",2020-11-21,24.99,"472",NA
"20586",2020-11-21,26.2,"433",NA
"20585",2020-11-21,48.92,"275",NA
"20552",2020-11-18,219.88,"360",NA
"20550",2020-11-17,53.02,"538",NA
"20549",2020-11-17,39.14,"477",NA
"20548",2020-11-17,96.49,"474",NA
"20547",2020-11-17,112.2,"208","harvest moon gems"
"20546",2020-11-16,344.83,"253","saori santa cruz"
"20544",2020-11-14,55.17,"545",NA
"20543",2020-11-14,114.08,"272",NA
"20542",2020-11-13,39.14,"170",NA
"20370",2020-11-13,26.19,"205",NA
"20369",2020-11-13,184.24,"242",NA
"20368",2020-11-12,55.2,"450",NA
"20366",2020-11-12,34,"84",NA
"20364",2020-11-09,42.38,"298",NA
"20356",2020-11-06,128.26,"508","terasadesigns"
"20355",2020-11-06,112.2,"96",NA
"20345",2020-11-05,224.69,"291",NA
"20343",2020-11-04,95.98,"188",NA
"20342",2020-11-04,133.66,"88",NA
"20340",2020-11-02,148.41,"565",NA
"20339",2020-11-02,22,"92","siddhi soul dba coastal craft supply co."
"20338",2020-11-02,104.82,"497","woven style"
