"product_id","variation_id","name","color"
"21048","21060","8/2 unmercerized cotton","tin reflection"
"21048","21056","8/2 unmercerized cotton","sienna"
"21048","21070","8/2 unmercerized cotton","very berry"
"21998","22007","tweedy twin wool","brick oven"
"21998","22002","tweedy twin wool","chateau brown"
"2698","21901","duo tone rayon yarn","blue jay"
"2698","21903","duo tone rayon yarn","emerald"
"1739","12989","wool crepe yarn","royal blue"
"17848","18107","classic combo duo","violet cotton rayon"
"10496","10718","worsted rayon boucle","blueberry"
"6854","21149","sun soft linen","very berry"
"3680","22141","rayon boucle yarn 3792","mauve"
"19708","19710","thick and thin cotton with linen","midnight navy"
"21429","21435","cloud yarn",NA
"2698","17886","duo tone rayon yarn","pearl"
"9824","9829","fun multi","confetti"
"13790","13797","hank or cone","spider cone"
"13790","13800","hank or cone","butterfly cone"
"17955","20202","popcorn yarn","bubblegum"
"10285","10863","swirl yarn","oreo"
"16287","16288","wool boucle","natural"
"1739","12346","wool crepe yarn","dew"
"9581","21913","skinny majesty","blue jay"
"9581","21914","skinny majesty","dandelion"
"9581","21915","skinny majesty","emerald"
"9581","21801","skinny majesty","liquid blue"
"9581","21800","skinny majesty","deep lilac"
"9581","21799","skinny majesty","cayenne"
"9581","13184","skinny majesty","bleached white"
"9581","10493","skinny majesty","rust"
"9581","9617","skinny majesty","natural"
"9581","9832","skinny majesty","mimosa"
"7860","9247","fine wool crepe","teal"
"7860","9246","fine wool crepe","orchid"
"7860","9245","fine wool crepe","pink"
"7860","9249","fine wool crepe","natural"
"16614","16625","nature's wool","celestine"
"16614","19254","nature's wool","purple rain"
"16614","19276","nature's wool","clear lake"
"19107","19115","bulky merino wool","violet"
"21998","22009","tweedy twin wool","gold finch"
"21998","22010","tweedy twin wool","gold finch"
"21998","22003","tweedy twin wool","purple galaxy"
"21998","22004","tweedy twin wool","purple galaxy"
"21998","22005","tweedy twin wool","dusty feather"
"11161","11163","mini dina","white"
"11161","11162","mini dina","natural"
"11161","19366","mini dina","silver"
"11161","19654","mini dina","cascade navy"
"11161","19655","mini dina","lime"
"2260","6711","3 ply silky rayon yarn","royal"
"2260","6710","3 ply silky rayon yarn","jade"
"2260","6735","3 ply silky rayon yarn","dark berry"
"2260","6734","3 ply silky rayon yarn","light berry"
"2260","6736","3 ply silky rayon yarn","red bull"
"6854","20772","sun soft linen","sienna"
"6854","20771","sun soft linen","steel serpent"
"6854","7126","sun soft linen","metallic"
"6854","20774","sun soft linen","tin reflection"
"6854","20775","sun soft linen","spring water"
"6854","21149","sun soft linen","very berry"
"6854","21151","sun soft linen","bravado red"
"6854","21150","sun soft linen","gulfstream"
"19207","21907","5/2 spun rayon","blue jay"
"19207","21908","5/2 spun rayon","dandelion"
"19207","21415","5/2 spun rayon","natural"
"19207","21807","5/2 spun rayon","cayenne"
"19207","21808","5/2 spun rayon","deep lilac"
"19207","21809","5/2 spun rayon","liquid blue"
"19207","21810","5/2 spun rayon","red wine"
"19207","21909","5/2 spun rayon","emerald"
"1946","2265","rayon chenille yarn 1300 ypp","silver"
"6342","16873","shiny worsted rayon boucle","vanilla"
"1749","18086","rayon chenille yarn 1850 ypp","hazelnut"
"6342","15537","shiny worsted rayon boucle","golden"
"9824","9829","fun multi","confetti"
"9824","9828","fun multi","butternut"
"17166","17357","metallic diva yarn","midnight disco"
"17166","17202","metallic diva yarn","pretty pink"
"6854","20774","sun soft linen","tin reflection"
"16614","16621","nature's wool","limestone"
"2382","17136","super soft worsted cotton yarn","dark coal"
"17551","17559","matte skinny majesty","licorice"
"1946","21724","rayon chenille yarn 1300 ypp","charcoal"
"1946","1947","rayon chenille yarn 1300 ypp","black"
"17410","17414","rayon swirl","silver swirl"
"21429","21435","cloud yarn",NA
"21095","21100","soft cotton roving with seed","indigo"
"21095","21101","soft cotton roving with seed","tin reflection"
"21095","21098","soft cotton roving with seed","steel serpent"
"21095","21097","soft cotton roving with seed","pine forest"
"21095","21104","soft cotton roving with seed","forever lilac"
"21095","21105","soft cotton roving with seed","beeswax"
"21095","21106","soft cotton roving with seed","very berry"
"21095","21107","soft cotton roving with seed","gulfstream"
"18963","22036","soft cotton roving","rose"
"18963","22037","soft cotton roving","blue eyes"
"18963","18965","soft cotton roving","buttercup"
"20214","20217","sunburst yarn",NA
"17955","19607","popcorn yarn","candy corn"
"1085","1102","florafil super soft cotton yarn | bulky","red hibiscus"
"21048","21049","8/2 unmercerized cotton","garden spot green"
"21048","21055","8/2 unmercerized cotton","sienna"
"21048","21060","8/2 unmercerized cotton","tin reflection"
"21048","21059","8/2 unmercerized cotton","tin reflection"
"21048","21065","8/2 unmercerized cotton","forever lilac"
"21048","21067","8/2 unmercerized cotton","beeswax"
"21048","21068","8/2 unmercerized cotton","beeswax"
"21048","21070","8/2 unmercerized cotton","very berry"
"17702","19895","persian rug yarn","natural"
"2586","18005","fine metallic gimp yarn","chrome"
"2586","18004","fine metallic gimp yarn","gold"
"2586","19976","fine metallic gimp yarn","matte gold"
"2698","2701","duo tone rayon yarn","celadon"
"1946","3289","rayon chenille yarn 1300 ypp","soft rose"
"1946","2267","rayon chenille yarn 1300 ypp","cream"
"1946","14334","rayon chenille yarn 1300 ypp","golden peach"
"21000","21004","lustrous loopy","platinum"
"16440","19446","cotton bash thick and thin","sunflower"
"16440","19691","cotton bash thick and thin","eros"
"16440","19692","cotton bash thick and thin","denim"
"19708","19716","thick and thin cotton with linen","sunshine"
"21048","21056","8/2 unmercerized cotton","sienna"
"21048","21062","8/2 unmercerized cotton","spring water"
"21048","21072","8/2 unmercerized cotton","gulfstream"
"21048","21058","8/2 unmercerized cotton","indigo"
"21048","21066","8/2 unmercerized cotton","forever lilac"
"21048","21054","8/2 unmercerized cotton","steel serpent"
"1085","1091","florafil super soft cotton yarn | bulky","coral hibiscus"
"19207","21807","5/2 spun rayon","cayenne"
"16999","17004","luxury fine wool",NA
"9841","9845","viscose stretch yarn","natural"
"9625","13165","super fine wool***super special price***","neon"
"9625","13172","super fine wool***super special price***","epic orange"
"21048","21068","8/2 unmercerized cotton","beeswax"
"21048","21060","8/2 unmercerized cotton","tin reflection"
"21048","21055","8/2 unmercerized cotton","sienna"
"21048","21065","8/2 unmercerized cotton","forever lilac"
"21048","21049","8/2 unmercerized cotton","garden spot green"
"6854","20773","sun soft linen","indigo"
"6854","20775","sun soft linen","spring water"
"21429","21435","cloud yarn",NA
"19107","19109","bulky merino wool","barn red"
"19107","20458","bulky merino wool","stone"
"19107","20452","bulky merino wool","olive"
"21048","21049","8/2 unmercerized cotton","garden spot green"
"1739","2524","wool crepe yarn","burgundy"
"6854","20773","sun soft linen","indigo"
"6854","20771","sun soft linen","steel serpent"
"6854","20774","sun soft linen","tin reflection"
"13654","18333","4/4 cotton yarn","khaki"
"21998","22009","tweedy twin wool","gold finch"
"21017","21020","stormy yarn","steel serpent"
"21017","21022","stormy yarn","indigo"
"21000","21002","lustrous loopy","cascade"
"20525","20532","four ply metallic yarn","red"
"20506","21487","three ply metallic yarn","copper"
"20506","21483","three ply metallic yarn","purple"
"21000","21897","lustrous loopy","emerald"
"21000","21003","lustrous loopy","verde"
"21000","21782","lustrous loopy","red wine"
"21095","21106","soft cotton roving with seed","very berry"
"21095","21107","soft cotton roving with seed","gulfstream"
"20506","21484","three ply metallic yarn","gold"
"20506","21495","three ply metallic yarn","turquoise"
"20506","21493","three ply metallic yarn","silver"
"17955","19607","popcorn yarn","candy corn"
"17955","18233","popcorn yarn","pop punk"
"17955","17957","popcorn yarn","rainbow gourmet"
"17955","19802","popcorn yarn","bungalow blue"
"9841","9842","viscose stretch yarn","black"
"1946","15021","rayon chenille yarn 1300 ypp","navy"
"21000","21004","lustrous loopy","platinum"
"13654","21092","4/4 cotton yarn","beeswax"
"19708","19713","thick and thin cotton with linen","sand dune"
"19708","19716","thick and thin cotton with linen","sunshine"
"20497","20503","two ply metallic yarn","silver"
"9226","9231","fancy twist cotton yarns",NA
"16756","16757","wavy 100% bamboo yarn","aubergine"
"1946","21723","rayon chenille yarn 1300 ypp","red wine"
"21048","21052","8/2 unmercerized cotton","pine forest"
"21048","21064","8/2 unmercerized cotton","bravado red"
"1946","2267","rayon chenille yarn 1300 ypp","cream"
"21429","21436","cloud yarn",NA
"11161","12660","mini dina","soft blue"
"11161","12661","mini dina","sunflower"
"11161","19367","mini dina","light copper"
"11161","11163","mini dina","white"
"11161","11162","mini dina","natural"
"11161","12676","mini dina","red"
"18199","18201","jetty sun yarn","algae"
"18199","18200","jetty sun yarn","stone"
"19708","19709","thick and thin cotton with linen","bright white"
"19708","19710","thick and thin cotton with linen","midnight navy"
"19708","19712","thick and thin cotton with linen","pewter"
"21048","21060","8/2 unmercerized cotton","tin reflection"
"13654","18568","4/4 cotton yarn","denim"
"18281","21192","8/4 unmercerized cotton (merry maid)","gulfstream"
"18281","20569","8/4 unmercerized cotton (merry maid)","aquatic"
"21048","21070","8/2 unmercerized cotton","very berry"
"21048","21064","8/2 unmercerized cotton","bravado red"
"605","1882","american lamb yarn","olive jar"
"605","1883","american lamb yarn","delft blue"
"605","1884","american lamb yarn","granite"
"605","1885","american lamb yarn","pumpkin"
"21429","21435","cloud yarn",NA
"16047","19879","autumn leaves",NA
"16246","16254","new mix","d"
"20468","20475","single ply metallic yarn","white"
"16934","21584","organic cotton wool soy linen combo","freshwater"
"16934","21585","organic cotton wool soy linen combo","waterfall"
"21429","21435","cloud yarn",NA
"19708","19713","thick and thin cotton with linen","sand dune"
"19708","19710","thick and thin cotton with linen","midnight navy"
"18281","18289","8/4 unmercerized cotton (merry maid)","cotton candy"
"16546","16548","curaã§ao cotton boucle","sea glass"
"16546","16556","curaã§ao cotton boucle","mango"
"18281","21137","8/4 unmercerized cotton (merry maid)","beeswax"
"18281","21138","8/4 unmercerized cotton (merry maid)","indigo"
"16934","21583","organic cotton wool soy linen combo","pollen"
"18281","20572","8/4 unmercerized cotton (merry maid)","aquatic"
"1946","21723","rayon chenille yarn 1300 ypp","red wine"
"1946","1947","rayon chenille yarn 1300 ypp","black"
"1946","21724","rayon chenille yarn 1300 ypp","charcoal"
"19175","19176","variegated rayon chenille","berry chill"
"18963","18966","soft cotton roving with seed","lavender"
"18963","18965","soft cotton roving with seed","buttercup"
"1085","19731","florafil super soft cotton yarn | bulky","natural cotton"
"1085","1092","florafil super soft cotton yarn | bulky","chocolate lily"
"1085","1088","florafil super soft cotton yarn | bulky","brown galingale"
"21095","21104","soft cotton roving with seed","forever lilac"
"1946","17534","rayon chenille yarn 1300 ypp","white"
"1946","18368","rayon chenille yarn 1300 ypp","hot pink"
"1946","21723","rayon chenille yarn 1300 ypp","red wine"
"1946","21726","rayon chenille yarn 1300 ypp","cayenne"
"1946","21854","rayon chenille yarn 1300 ypp","dandelion"
"1946","21852","rayon chenille yarn 1300 ypp","blue jay"
"9357","16156","rayon ribbon","lava"
"12680","12714","shimmer yarn","blue hyacinth"
"16406","19580","green chrysanthemum on cone",NA
"2382","19789","super soft worsted cotton yarn","honeydew"
"17955","17956","popcorn yarn","green apple"
"19551","9999","big rayon boucle",NA
"21095","21102","soft cotton roving with seed","spring water"
"21095","21096","soft cotton roving with seed","garden spot green"
"21017","21019","stormy yarn","pine forest"
"21017","21020","stormy yarn","steel serpent"
"21017","21028","stormy yarn","very berry"
"21017","21029","stormy yarn","gulfstream"
"17955","19802","popcorn yarn","bungalow blue"
"2382","15874","super soft worsted cotton yarn","plum"
"2382","17136","super soft worsted cotton yarn","dark coal"
"2382","18317","super soft worsted cotton yarn","navy"
"2382","19791","super soft worsted cotton yarn","misty rose"
"21000","21895","lustrous loopy","blue jay"
"21000","21896","lustrous loopy","dandelion"
"21000","21897","lustrous loopy","emerald"
"21000","21782","lustrous loopy","red wine"
"21000","21785","lustrous loopy","liquid blue"
"21000","21786","lustrous loopy","deep lilac"
"21000","21783","lustrous loopy","cayenne"
"2698","2700","duo tone rayon yarn","aqua"
"2698","18389","duo tone rayon yarn","dark purple"
"2698","21901","duo tone rayon yarn","blue jay"
"18952","18954","cotton rayon twist","steel"
"17955","19909","popcorn yarn","red apple"
"21095","21100","soft cotton roving with seed","indigo"
"21095","21098","soft cotton roving with seed","steel serpent"
"17955","19607","popcorn yarn","candy corn"
"6854","20771","sun soft linen","steel serpent"
"16614","16627","nature's wool","sandstone"
"16614","16621","nature's wool","limestone"
"16614","16619","nature's wool","calcite"
"16614","16623","nature's wool","fern"
"16614","19348","nature's wool","sky blue"
"19846","19854","fun mini accents","polka dot"
"19846","19855","fun mini accents","jems"
"12357","12364","fiesta wool","sombrero"
"17702","19895","persian rug yarn","natural"
"605","1050","american lamb yarn","curry powder"
"605","1883","american lamb yarn","delft blue"
"605","1884","american lamb yarn","granite"
"605","1046","american lamb yarn","pink elephant"
"20506","21487","three ply metallic yarn","copper"
"19846","19854","fun mini accents","polka dot"
"10855","13050","shades of sunset","sunset blue"
"18970","18972","super soft cotton metallic","gold"
"18354","18356","wool crepe confetti","tan"
"18281","20572","8/4 unmercerized cotton (merry maid)","aquatic"
"17955","19607","popcorn yarn","candy corn"
"17848","18110","classic combo duo","silver birch cotton"
"17088","9999","poly oreo yarn",NA
"16047","19879","autumn leaves",NA
"21017","21025","stormy yarn","bravado red"
"18281","21190","8/4 unmercerized cotton (merry maid)","bravado red"
"21000","21003","lustrous loopy","verde"
"1946","1947","rayon chenille yarn 1300 ypp","black"
"1946","21723","rayon chenille yarn 1300 ypp","red wine"
"1946","21724","rayon chenille yarn 1300 ypp","charcoal"
"1946","21854","rayon chenille yarn 1300 ypp","dandelion"
"1946","21852","rayon chenille yarn 1300 ypp","blue jay"
"1946","21855","rayon chenille yarn 1300 ypp","emerald green"
"1739","17408","wool crepe yarn","midnight navy"
"1739","8620","wool crepe yarn","seal brown"
"2563","9200","fine rayon boucle yarn","black"
"17551","18157","matte skinny majesty","bark"
"17551","17559","matte skinny majesty","licorice"
"17551","17933","matte skinny majesty","natural"
"12357","17803","fiesta wool","jalapeno"
"1987","3082","wayfarer yarn","briny deep"
"1987","2011","wayfarer yarn","hot spring"
"16934","21583","organic cotton wool soy linen combo","pollen"
"16934","21584","organic cotton wool soy linen combo","freshwater"
"16934","21585","organic cotton wool soy linen combo","waterfall"
"16934","21586","organic cotton wool soy linen combo","night owl"
"16934","21587","organic cotton wool soy linen combo","natural"
"16934","21588","organic cotton wool soy linen combo","rustic red"
"16934","21589","organic cotton wool soy linen combo","wisteria"
"18970","18973","super soft cotton metallic","rainbow"
"16047","19877","autumn leaves",NA
"20525","20529","four ply metallic yarn","rainbow"
"20506","20515","three ply metallic yarn","red"
"21017","21019","stormy yarn","pine forest"
"21017","21023","stormy yarn","tin reflection"
"21017","21021","stormy yarn","sienna"
"19107","19109","bulky merino wool","barn red"
"19107","19110","bulky merino wool","crow"
"18970","18971","super soft cotton metallic","copper"
"18970","18972","super soft cotton metallic","gold"
"605","1884","american lamb yarn","granite"
"605","1052","american lamb yarn","black onyx"
"605","1051","american lamb yarn","natural"
"12357","12362","fiesta wool","natural"
"12357","17801","fiesta wool","cactus"
"12357","21663","fiesta wool","stone"
"12357","17803","fiesta wool","jalapeno"
"12357","17799","fiesta wool","red pepper"
"16756","16766","wavy 100% bamboo yarn","licorice"
"12399","12400","cotton rayon yarn","bark"
"12399","12403","cotton rayon yarn","sade"
"12984","15704","macaw yarn","african gray"
"19107","19114","bulky merino wool","toasted pecan"
"1946","2265","rayon chenille yarn 1300 ypp","silver"
"1946","21724","rayon chenille yarn 1300 ypp","charcoal"
"1946","15021","rayon chenille yarn 1300 ypp","navy"
"1946","21723","rayon chenille yarn 1300 ypp","red wine"
"18970","18973","super soft cotton metallic","rainbow"
"20214","20217","sunburst yarn",NA
"9357","16154","rayon ribbon","ocean"
"2260","6734","3 ply silky rayon yarn","light berry"
"11161","12660","mini dina","soft blue"
"1946","21725","rayon chenille yarn 1300 ypp","deep lilac"
"1946","1947","rayon chenille yarn 1300 ypp","black"
"18963","18966","soft cotton roving with seed","lavender"
"18963","18969","soft cotton roving with seed","natural"
"18963","18965","soft cotton roving with seed","buttercup"
"18963","18967","soft cotton roving with seed","sage"
"16999","17003","luxury fine wool",NA
"16614","16625","nature's wool","celestine"
"9841","9842","viscose stretch yarn","black"
"605","11432","american lamb yarn","meadow"
"605","11433","american lamb yarn","zengari"
"16756","16768","wavy 100% bamboo yarn","zest"
"19708","19714","thick and thin cotton with linen","scarlet"
"605","1048","american lamb yarn","wineglass"
"18281","20569","8/4 unmercerized cotton (merry maid)","aquatic"
"18281","18561","8/4 unmercerized cotton (merry maid)","lilac"
"18281","20200","8/4 unmercerized cotton (merry maid)","lime"
"13654","16074","4/4 cotton yarn","cotton candy"
"13654","17244","4/4 cotton yarn","burgundy"
"13654","17275","4/4 cotton yarn","berry"
"13654","17329","4/4 cotton yarn","bright purple"
"13654","18331","4/4 cotton yarn","lavender"
"13654","19023","4/4 cotton yarn","lilac"
"2260","6711","3 ply silky rayon yarn","royal"
"2260","6710","3 ply silky rayon yarn","jade"
"2260","6736","3 ply silky rayon yarn","red bull"
"2260","6735","3 ply silky rayon yarn","dark berry"
"2260","6734","3 ply silky rayon yarn","light berry"
"21429","21435","cloud yarn",NA
"19708","19715","thick and thin cotton with linen","sea foam"
"19708","19716","thick and thin cotton with linen","sunshine"
"19708","19712","thick and thin cotton with linen","pewter"
"19708","19714","thick and thin cotton with linen","scarlet"
"19708","19710","thick and thin cotton with linen","midnight navy"
